PCSK1	69
LIPC	69
HMGCR	69
ZNF804A	68
SLC34A1	68
MAPT	68
IKZF1	68
ANGPT2	68
ABCG1	68
SCN9A	67
RAF1	67
NOS1	67
MTNR1B	67
CELSR2	67
CACNA1D	67
ABI1	67
NOS3	66
FAAH	66
ATM	66
TYK2	65
PRKAG2	65
IL1RN	65
IL12B	65
IFIH1	65
HNF1A	65
COMT	65
TXNRD2	64
TLR2	64
INS	64
HNF4A	64
CADM2	64
AR	64
ANK3	64
T2D	63
NMNAT2	63
NLRP3	63
FGF14	63
COL1A2	63
GSDMB	62
ERBB4	62
DPP4	62
RYR2	61
MITF	61
HIV	61
AGTR2	61
VEGFA	60
TF	60
SNCA	60
GC	60
EFEMP1	60
EBF1	60
CYP17A1	60
CFTR	60
ABCG2	60
TBX15	59
PIN1	59
PIK3CA	59
NLRP10	59
IRF5	59
F8	59
EDAR	59
DSP	59
CNTN4	59
APOC1	59
APOA5	59
ACHE	59
TNXB	58
LCT	58
FOLH1	58
CAMKK2	58
CAMK2D	58
BCL3	58
TPCN2	57
SERPINA1	57
NCSTN	57
LEPR	57
IL13	57
CYP1A1	57
CFH	57
TH	56
SLC26A4	56
LPP	56
HK1	56
COL1A1	56
WNT3	55
TRPM1	55
SYNE1	55
SHBG	55
RB1	55
PTGS2	55
GCK	55
FGF21	55
ADAMTSL3	55
RGL3	54
RELA	54
POU6F2	54
CRHR2	54
ANGPTL4	54
AKT3	54
TTN	53
STAG1	53
SLC22A1	53
RUNX1	53
PDGFRA	53
LITAF	53
HDAC4	53
CYP2C9	53
CRB1	53
CD33	53
ABCA7	53
TMEM18	52
SCHIZOPHRENIA	52
IFIT1	52
GATA3	52
FOXP1	52
CSTA	52
CHRNA4	52
BCL11A	52
ATP2B1	52
ZBTB38	51
YAP1	51
TRIO	51
TNFSF15	51
TBX2	51
PTPN11	51
NDUFAF6	51
KDM4C	51
KCNA5	51
JAK2	51
INADL	51
HCN4	51
DYRK1A	51
CRBN	51
CHEK2	51
ARHGEF3	51
ANTXR2	51
ADRB1	51
TYR	50
OXTR	50
KIF5A	50
HERC2	50
HACE1	50
FLNB	50
CDKN2B	50
CDH13	50
CD36	50
APOL1	50
AHRR	50
ADIPOQ	50
ADCY3	50
THADA	49
NPC1	49
NFKB1	49
MMP1	49
MACROD2	49
HSPA8	49
GRM1	49
FHIT	49
DISC1	49
CLU	49
AUTS2	49
ADCY5	49
ADAMTS4	49
TNR	48
TNFRSF11A	48
TNFRSF10A	48
SREBP	48
SCN10A	48
RSPO3	48
RORA	48
PCOS	48
NT5C2	48
MSN	48
MAPK1	48
IRF8	48
INPP5D	48
GABRB1	48
CRHR1	48
CCK	48
CAPG	48
BLK	48
ADIPOR2	48
VPS13C	47
VAV1	47
RIPK1	47
PTPRC	47
PRSS2	47
PRKCA	47
PPARA	47
NUMB	47
MSH5	47
ITGAX	47
HOMER1	47
HK3	47
GRID1	47
G6PC2	47
CYP1B1	47
CHRNA7	47
CD40	47
CACNA2D3	47
AHR	47
TG	46
TBX3	46
PPARGC1A	46
OCA2	46
MAPK8	46
MAGI2	46
KIAA0319	46
KCNJ11	46
IREB2	46
HDAC9	46
GIPR	46
G6PD	46
ERC1	46
EPAS1	46
EIF2AK4	46
CYP19A1	46
CNTNAP2	46
CLEC16A	46
CHD4	46
CAV1	46
CAMTA1	46
BMD	46
BACH2	46
ATPAF2	46
ATP13A2	46
ASAP1	46
ALAD	46
ADRB2	46
ZNF365	45
TRPM6	45
SLC2A9	45
SERPINB10	45
PID1	45
HCV	45
GUCY1A3	45
ERAP1	45
CASP8	45
CACNB4	45
ATP2A2	45
AGER	45
WFS1	44
TRPC1	44
TNFRSF4	44
TMPRSS6	44
STIP1	44
RGS1	44
RBP1	44
PSMA6	44
PPP1R3B	44
POLR2B	44
PNP	44
ORMDL3	44
NEGR1	44
KDM5C	44
IRAK4	44
IL19	44
HBB	44
FAM134B	44
CDH1	44
CCR6	44
BRD2	44
ANKRD55	44
ADCY9	44
WT1	43
TLR1	43
TFAP2B	43
SORL1	43
SEC16B	43
SCN1A	43
REST	43
PTPN2	43
