URI,COUNT(*)
http://www.ebi.ac.uk/efo/EFO_0004242,2
http://www.ebi.ac.uk/efo/EFO_0004285,2
http://purl.obolibrary.org/obo/GO_0009615,2
http://www.ebi.ac.uk/efo/EFO_0004995,2
http://www.ebi.ac.uk/efo/EFO_0004571,2
http://www.ebi.ac.uk/efo/EFO_0004575,2
http://www.ebi.ac.uk/efo/EFO_0004616,2
http://www.ebi.ac.uk/efo/EFO_0004908,2
http://www.ebi.ac.uk/efo/EFO_0004705,2
http://www.ebi.ac.uk/efo/EFO_0004193,2
http://www.ebi.ac.uk/efo/EFO_0004230,2
http://www.ebi.ac.uk/efo/EFO_0005037,2
http://www.ebi.ac.uk/efo/EFO_0004819,2
http://purl.obolibrary.org/obo/GO_0036287,2
http://www.ebi.ac.uk/efo/EFO_0004528,2
http://www.ebi.ac.uk/efo/EFO_0004311,2
http://www.ebi.ac.uk/efo/EFO_0004579,2
http://www.ebi.ac.uk/efo/EFO_0000707,2
http://www.ebi.ac.uk/efo/EFO_0004550,2
http://purl.obolibrary.org/obo/GO_1901555,2
http://www.ebi.ac.uk/efo/EFO_0004764,2
http://www.ebi.ac.uk/efo/EFO_0003843,2
http://www.ebi.ac.uk/efo/EFO_0004229,2
http://www.ebi.ac.uk/efo/EFO_0004235,2
http://www.ebi.ac.uk/efo/EFO_0004811,2
http://www.ebi.ac.uk/efo/EFO_0004280,2
http://www.orpha.net/ORDO/Orphanet_79102,2
http://www.ebi.ac.uk/efo/EFO_0004863,2
http://www.ebi.ac.uk/efo/EFO_0004296,2
http://www.ebi.ac.uk/efo/EFO_0004302,2
http://www.ebi.ac.uk/efo/EFO_0004747,2
http://www.ebi.ac.uk/efo/EFO_0004192,2
http://www.ebi.ac.uk/efo/EFO_0004226,2
http://www.ebi.ac.uk/efo/EFO_0004273,2
http://www.ebi.ac.uk/efo/EFO_0004860,2
http://www.ebi.ac.uk/efo/EFO_0004565,2
http://www.orpha.net/ORDO/Orphanet_586,2
http://www.ebi.ac.uk/efo/EFO_0000540,2
http://www.ebi.ac.uk/efo/EFO_0004335,2
http://www.ebi.ac.uk/efo/EFO_0004341,2
http://www.ebi.ac.uk/efo/EFO_0004577,2
http://www.ebi.ac.uk/efo/EFO_0004743,2
http://www.ebi.ac.uk/efo/EFO_0002892,2
http://www.ebi.ac.uk/efo/EFO_0003086,2
http://www.ebi.ac.uk/efo/EFO_0003108,2
http://www.ebi.ac.uk/efo/EFO_0003956,2
http://www.ebi.ac.uk/efo/EFO_0004253,2
http://www.orpha.net/ORDO/Orphanet_683,2
http://purl.obolibrary.org/obo/GO_0007608,2
http://purl.obolibrary.org/obo/GO_0042476,2
http://www.ebi.ac.uk/efo/EFO_0005053,2
http://www.orpha.net/ORDO/Orphanet_156071,2
http://www.ebi.ac.uk/efo/EFO_0000401,2
http://www.ebi.ac.uk/efo/EFO_0000681,2
http://www.ebi.ac.uk/efo/EFO_0003896,2
http://www.ebi.ac.uk/efo/EFO_0001054,2
http://www.ebi.ac.uk/efo/EFO_0004468,2
http://www.ebi.ac.uk/efo/EFO_0004581,2
http://www.ebi.ac.uk/efo/EFO_0004714,2
http://www.ebi.ac.uk/efo/EFO_0003912,2
http://www.ebi.ac.uk/efo/EFO_0003778,2
http://www.ebi.ac.uk/efo/EFO_0004833,2
http://www.ebi.ac.uk/efo/EFO_0004261,2
http://www.ebi.ac.uk/efo/EFO_0004274,2
http://purl.obolibrary.org/obo/GO_1901558,2
http://www.ebi.ac.uk/efo/EFO_0000474,2
http://www.ebi.ac.uk/efo/EFO_0000649,2
http://www.ebi.ac.uk/efo/EFO_0004315,2
http://www.ebi.ac.uk/efo/EFO_0004617,2
http://www.ebi.ac.uk/efo/EFO_0004634,2
http://www.ebi.ac.uk/efo/EFO_0004795,2
http://purl.obolibrary.org/obo/HP_0000539,2
http://purl.obolibrary.org/obo/HP_0000483,2
http://www.ebi.ac.uk/efo/EFO_0004262,2
http://www.ebi.ac.uk/efo/EFO_0005038,2
http://www.ebi.ac.uk/efo/EFO_0004838,2
http://www.ebi.ac.uk/efo/EFO_0004874,2
http://www.ebi.ac.uk/efo/EFO_0000625,2
http://www.ebi.ac.uk/efo/EFO_0004237,2
http://www.ebi.ac.uk/efo/EFO_0004272,1
http://www.ebi.ac.uk/efo/EFO_0004279,1
http://www.ebi.ac.uk/efo/EFO_0004284,1
http://www.ebi.ac.uk/efo/EFO_0004751,1
http://www.orpha.net/ORDO/Orphanet_166282,1
http://www.ebi.ac.uk/efo/EFO_0004233,1
http://www.ebi.ac.uk/efo/EFO_0004694,1
http://www.orpha.net/ORDO/Orphanet_2133,1
http://purl.obolibrary.org/obo/GO_0036275,1
http://purl.obolibrary.org/obo/GO_0046677,1
http://www.ebi.ac.uk/efo/EFO_0004515,1
http://www.ebi.ac.uk/efo/EFO_0000403,1
http://www.ebi.ac.uk/efo/EFO_0000731,1
http://www.ebi.ac.uk/efo/EFO_0005054,1
http://www.ebi.ac.uk/efo/EFO_0005055,1
http://www.ebi.ac.uk/efo/EFO_0004979,1
http://www.ebi.ac.uk/efo/EFO_0000278,1
http://www.ebi.ac.uk/efo/EFO_0004290,1
http://www.ebi.ac.uk/efo/EFO_0006319,1
http://www.ebi.ac.uk/efo/EFO_0004312,1
http://purl.obolibrary.org/obo/GO_0044691,1
http://www.ebi.ac.uk/efo/EFO_0004363,1
http://www.ebi.ac.uk/efo/EFO_0004517,1
http://purl.obolibrary.org/obo/GO_0050913,1
http://www.ebi.ac.uk/efo/EFO_0004540,1
http://www.ebi.ac.uk/efo/EFO_0004564,1
http://www.ebi.ac.uk/efo/EFO_0004582,1
http://www.ebi.ac.uk/efo/EFO_0004593,1
http://purl.obolibrary.org/obo/GO_0033273,1
http://www.ebi.ac.uk/efo/EFO_0004712,1
http://www.ebi.ac.uk/efo/EFO_0004719,1
http://www.ebi.ac.uk/efo/EFO_0004724,1
http://www.ebi.ac.uk/efo/EFO_0004784,1
http://www.ebi.ac.uk/efo/EFO_0003065,1
http://purl.obolibrary.org/obo/GO_0006954,1
http://www.ebi.ac.uk/efo/EFO_0003889,1
http://www.ebi.ac.uk/efo/EFO_0003946,1
http://www.ebi.ac.uk/efo/EFO_0003947,1
http://www.ebi.ac.uk/efo/EFO_0003958,1
http://www.ebi.ac.uk/efo/EFO_0004212,1
http://www.ebi.ac.uk/efo/EFO_0004215,1
http://www.ebi.ac.uk/efo/EFO_0004236,1
http://www.ebi.ac.uk/efo/EFO_0004820,1
http://www.ebi.ac.uk/efo/EFO_0004828,1
http://www.ebi.ac.uk/efo/EFO_0004829,1
http://www.ebi.ac.uk/efo/EFO_0004809,1
http://www.ebi.ac.uk/efo/EFO_0004269,1
http://www.ebi.ac.uk/efo/EFO_0004287,1
http://www.ebi.ac.uk/efo/EFO_0004471,1
http://www.ebi.ac.uk/efo/EFO_0004844,1
http://www.ebi.ac.uk/efo/EFO_0004859,1
http://www.ebi.ac.uk/efo/EFO_0004568,1
http://www.ebi.ac.uk/efo/EFO_0004251,1
http://www.orpha.net/ORDO/Orphanet_654,1
http://www.ebi.ac.uk/efo/EFO_0004818,1
http://www.ebi.ac.uk/efo/EFO_0004889,1
http://www.ebi.ac.uk/efo/EFO_0004697,1
http://www.ebi.ac.uk/efo/EFO_0000400,1
http://www.ebi.ac.uk/efo/EFO_0000483,1
http://www.ebi.ac.uk/efo/EFO_0000768,1
http://www.ebi.ac.uk/efo/EFO_0004301,1
http://www.ebi.ac.uk/efo/EFO_0005941,1
http://www.ebi.ac.uk/efo/EFO_0004307,1
http://www.ebi.ac.uk/efo/EFO_0004321,1
http://www.ebi.ac.uk/efo/EFO_0004333,1
http://www.ebi.ac.uk/efo/EFO_0004357,1
http://www.ebi.ac.uk/efo/EFO_0004573,1
http://www.ebi.ac.uk/efo/EFO_0004619,1
http://www.ebi.ac.uk/efo/EFO_0004625,1
http://www.ebi.ac.uk/efo/EFO_0004641,1
http://www.ebi.ac.uk/efo/EFO_0000280,1
http://www.ebi.ac.uk/efo/EFO_0003047,1
http://www.ebi.ac.uk/efo/EFO_0004713,1
http://www.ebi.ac.uk/efo/EFO_0004715,1
http://www.ebi.ac.uk/efo/EFO_0005001,1
